Tweet,Label
"I guess that US regime change of Ukraine turning it into a big extremely hostile, anti-Russian NATO base is perfectly legitimate too? Oh right…. that part doesn’t fit into the Western narrative",0
What about those Iranian/Russian drones? Unmanned and killing civilians. What do you call that?,0
"It's not just that this is during war, but some of those ships are literally firing off the missiles hitting the cities, daily. There could not be a fairer target.",0
"Right, those same warships are routinely launching cruise missiles to strike *civilian* targets in Odesa, Mykolaiv etc.

Pretty galling to engage in state terrorism and then try to label attempts to destroy the threat ""terrorism"".",0
It’s funny isn’t it - how awful of them to fight back   😢,0
"Minor damage to two ships, in return for a cancelled grain deal, which was Ukraine's economic lifeline.

Yet another Ukrainian own-goal.

😂😂😂",0
"After so MANY years of F-ing around, Russia is FINALLY finding out. In the most painful and humiliating way possible.",0
"I agree 100%. We all know that Russia has been using such devices. So, there is nothing wrong with doing the same. In fact, I would encourage Ukraine to use more drones, etc to send the Russians back to Russia.",1
The second picture clearly shows a powerful blast hitting a long-hulled vessel amidships. That's unlikely to be survivable. My guess it was a Grigorovich-class frigate loaded with cruise missiles on its way to commit more war crimes being de-nazified permanently.,0
"At first, Ukrainians didn't want to take part of the deal bc they feared being vulnerable to attacks. Why would Russia tolerate it? Isn't it like bombing humanitarian corridors?",0
"Specially because these military targets were used to atack non-military targets, like energy, nurseries, schools, hospitals and children..",0
??? That is a military target not some school or hospital.,0
"Yes, absolutely. But it does not make it easier for those countries who are now left without grain from Odessa. This not about how to conduct a war, this is about how to manage a humanitarian corridor.",0
If Ukraine sinks the entire Black Sea fleet guess what grains exports start again. Anyone worried about starvation needs to send Ukraine some more anti ship missiles,0
The ships protected the food corridor.,0
"Legally, ruZZia is not at war with Ukraine.
It is ""Special Military Operation"".
Meaning of that term is that ruZZians can do anything to Ukraine but Ukraine has no right to fight back, because they are not at war.

Welcome to rashist newspeak 🤪
RuZZians are exceptional.",0
