Comment,Label
"The thing is, they could have had the economy of Europe, the main problem is they lived in a kleptocracy.",0
"Putin was expecting an easy victory, and now that the world is stepping on Russia's neck he's starting to knock over the game board. 😈",0
"Yes and here at home we still have a large portion of population seeking to not only identify with, but achieve the very same authoritarian state! And they’re too stupid to understand the parallel and peril that comes with this?",1
Authoritarians are good at one thing : Political survival.... Putin has not come through for everyday Russians... Putin doesn't need everyday Russians to stay in power... He needs Oligarchs... Putin has come through for Oligarchs...bigtime...,0
Please talk to regular Russians who had all their money stolen from bank accounts when the soviet union fell. I have a Russian friend who is a scientist his wife is an exercise teacher. They never got any of their life savings back when stolen by the Oligarchs.,0
"History repeats, Putin might as well wear a red hat saying, “MAKE RUSSIA KGB AGAIN”",0
"Putin:""No protesting in Communist governance or You will be gone missing!""",0
I'm glad that my parents removed me from this part of the world as a child by bringing me to the USA. Sad that things have not changed all that much over the last forty years since I left for the people that live in most of the former USSR. Слава Україні!,0
They should go fight on Ukraine's side instead of fleeing. It's their future as well.,0
"Russia is not a country anymore, it's simply a gulag.
Glory to Ukraine!! 🇺🇦 🇺🇲",0
"Excellent interview, especially pertaining to history.  No authoritarian regime ends well.  Unfortunately, they destroy many of their citizens along the way out.",0
Russia is the aggressor so fleeing in direction of Russia or Belarus sounds like a terrible idea.,0
"As the late British comedian Peter Cook once said, “We have learned the lessons of history so,well we can repeat them exactly.”",0
"Yes,  an iron curtain is once again falling in Russia.  I feel badly for them also.  They neither desired nor accepted what their government is doing despite them.",0
They should show what the prisons look like. Now that they have thousands of innocent people rolling in every day.,0
Prayers for the protestors,0
"I used to go to Russia often and I saw the change. It was really getting better [economically]...no one talked politics but people [seemed] happier, but now... I am afraid for them.",0
Russia’s scarily looking a lot like North Korea now…,0
"Never forget, Fox News, Republicans and Trump all defended this monster. They are now hoping and praying that you forget that part.",1
"In Authoritarian regimes only the leader and the people around them thrive, the citizens only suffer!!!",0
"When you lose the youth, scholars, and innovators then you are left with only the most unhealthy, uneducated, and unadaptive people.
I give the same warning to my Russian cousins that I have given to my Republican siblings many times. You either grow or you wither.",0
"Down with Putin. Down with Trump. Down with all tyrants, dictators, autocrats, and oligarchs. Freedom, liberty and justice for all.",0
Requiring citizens to stay and live in captivity is strange.,0
Keep it up Putin! The world needs to see exactly what kind of person you are. The person the Trump and the GOP fell all over and defended.,0
*Pay Attention America! Protect your freedom of speech! Protect your Democracy! Vote! Vote for Democracy! Vote Democrat! Stop trumputin's war on on American Democracy! Vote!*,1
Kane Francis  you’re calling President Biden names? Why don’t you join our Patriotic Americans and fight with Ukraine.,1
"If we don't learn from history we get to repeat history,,",0
15 years in jail for peaceful protesting? That is unheard of,0
It just shows you how these leaders ain't for the people,0
"For this century, the greatest person, that will have everlasting fame, and rightfully so, will be the individuals, that put Putin down, THOSE that will do this, will forever be looked upon, as one of the very few true heros in ALL of the history of mankind.",0
"Yes, it seems that there are some Russians who want to flee Russia via Finland to other countries. Finland-Russia land border is open, while Estonia might have closed their Russian border.",0
"Russia has always had an impressive creative class: musicians, artists, filmmakers, writers.  These people will not be supporters of Putin or conservative ""values"".  They will leave.  The country will be occupied by uneducated or military.",0
why does putin want to go back to something that failed...reminds me of repugs here trying to go back to worse times,0
