Topic,Title,ID,Comments,Noushin,Khiem,Anno-3,Label,Likes
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"The thing is, they could have had the economy of Europe, the main problem is they lived in a kleptocracy.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Putin was expecting an easy victory, and now that the world is stepping on Russia's neck he's starting to knock over the game board. 😈",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Yes and here at home we still have a large portion of population seeking to not only identify with, but achieve the very same authoritarian state! And they’re too stupid to understand the parallel and peril that comes with this?",0,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Authoritarians are good at one thing : Political survival.... Putin has not come through for everyday Russians... Putin doesn't need everyday Russians to stay in power... He needs Oligarchs... Putin has come through for Oligarchs...bigtime...,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Please talk to regular Russians who had all their money stolen from bank accounts when the soviet union fell. I have a Russian friend who is a scientist his wife is an exercise teacher. They never got any of their life savings back when stolen by the Oligarchs.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"History repeats, Putin might as well wear a red hat saying, “MAKE RUSSIA KGB AGAIN”",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Putin:""No protesting in Communist governance or You will be gone missing!""",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,I'm glad that my parents removed me from this part of the world as a child by bringing me to the USA. Sad that things have not changed all that much over the last forty years since I left for the people that live in most of the former USSR. Слава Україні!,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,They should go fight on Ukraine's side instead of fleeing. It's their future as well.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Russia is not a country anymore, it's simply a gulag.
Glory to Ukraine!! 🇺🇦 🇺🇲",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Excellent interview, especially pertaining to history.  No authoritarian regime ends well.  Unfortunately, they destroy many of their citizens along the way out.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Russia is the aggressor so fleeing in direction of Russia or Belarus sounds like a terrible idea.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"As the late British comedian Peter Cook once said, “We have learned the lessons of history so,well we can repeat them exactly.”",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Yes,  an iron curtain is once again falling in Russia.  I feel badly for them also.  They neither desired nor accepted what their government is doing despite them.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,They should show what the prisons look like. Now that they have thousands of innocent people rolling in every day.,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Prayers for the protestors,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"I used to go to Russia often and I saw the change. It was really getting better [economically]...no one talked politics but people [seemed] happier, but now... I am afraid for them.",0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,Russia’s scarily looking a lot like North Korea now…,0,0,0,0,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"Never forget, Fox News, Republicans and Trump all defended this monster. They are now hoping and praying that you forget that part.",1,1,1,1,
ukraine war news,Russians Flee Into Exile Because Of Putin&#39;s War With Ukraine: NYT,https://www.youtube.com/watch?v=pv4fPYhklRA,"In Authoritarian regimes only the leader and the people around them thrive, the citizens only suffer!!!",0,0,0,0,
